song_title,song_lyrics,song_artist
The Boogie That Be,"Yo-you hear them sirens?  I know you hear 'em Don't get scared That ain't five-o No that's the funk yo' Yeah Don't act like you didn't know No It's just the way it goes Yeah When you're messin' with the funk Yeah You pump it in your trunk Yeah You know it's what you want Yeah  So just bump da bump da bump bump it up  [Chorus] Bounce boo to the boogie that be You know I want you to come boogie with me We can dip left slide right all night It's time to be wild freestyle  It's on and poppin'  Ain't no stoppin' Us from rockin'  From tonight till ten o'clock in the morning Got neighbours knockin'  Turn it down F*ck them go call the cops and watch them kids Walk in start boppin' heads to what that beat they droppin' He play funk, punk, and hip-hoppin' breakin' laws yeah Cultures shockin' We be pop lockin' and mashin' I get down and groove to cuts Check my art of movin' butts Now these cats are scared to dance This beat next  Ooh There's my chance Come on girl  Let's go out and dance on the floor  Ha  [Chorus]  We can dance and dance, dance Said we can dance and dance, dance I wanna dance and dance, dance Oh we can dance and dance, dance  Fergie's chillin' Always illin' The way I make ya' sway Y'all feelin' That's how it is get down and jam If ya'll don't understand Check it He rock makin' Street block shakin' Love life's great when it's house quakin' Speakers thumpin' the whole joint jumpin' Disco funkin' get your booty bumpin' This beat's bangin' I'm rap talkin' Sweet spit slangin' keep your feet hoppin' Dirty dancin' nasty naughty Move that chassie Pump it hottie  Cause when I hear music I just lose it I wanna do it with you And when I hear music I get into it I wanna do it with you  Ha  [Chorus]  We can dance and dance, dance Said we can dance and dance, dance I wanna dance and dance, dance Oh we can dance and dance, dance  Come on  Freak freak Ha Freak to the beat Ha Yeah Freak freak Ha Freak to the beat Ha Yeah freak freak It sound sweet Ha Yeah freak freak  And do it to the beat Ha  Y'all What the hell y'all come here for If y'all ain't out there on that floor Ya' asked me to bring it Hey I brought a little more I give it to ya' raw Give it to ya' hard core  Not contaminated  I'm gonna keep this pure Just for y'all for y'alls pleasure 'Cause all I wanna do is have a ball y'all Get on the floor y'all Freak freak y'all  [Chorus]",Black Eye Peas
The Apl Song,"La pit m-ga kai bigan At making kayo A ko may da la da lang Bali taga ling saba yanko Na is kung y pama hagi Ang m-ga kwento Ang m-ga pang ya yari nagaga nap Sa lu pang pinnang a ko  Yo, every place has a ghetto This is my version of it Check it out Listen closely all I got a story to tell Version of my ghetto when life felt for real Some would call it hell, to me it was heaven God gave me the grace amazing ways of living How would you feel if you had to catch a meal To live to eat to chill and Havin' to pump the water out of the ground The way we put it down utilizing what's around Like land for farm and river for fish Everyone help each other whenever they can We makin' it happen, nothing to something We be surviving back in the homeland  La pit m-ga kai bigan At making kayo A ko may da la da lang Bali taga ling saba yanko Na is kung y pama hagi Ang m-ga kwento Ang m-ga pang ya yari nagaga nap Sa lu pang pinnang a ko  It's been a while but I been back to my home, to my homeland And this be what's going on Man it feels good to be back at home (back at home) It's been a decade and a journey all along I was fourteen when I first left Philippines Been away half my life and it felt like a dream To be next to my mom with her home cooked meal Man I felt complete, my emotions I feel Now life has changed for me in the U.S. But back at home man, life was a mess I guess sometimes the life stresses get you down On your knees Oh brother wish I could have helped you out Help me...  La pit m-ga kai bigan At making kayo A ko may da la da lang Bali taga ling saba yanko Na is kung y pama hagi Ang m-ga kwento Ang m-ga pang ya yari nagaga nap Sa lu pang pinnang a ko",Black Eye Peas
Anxiety,"I feel like I wanna smack somebody Turn around and bitch slap somebody But I ain't goin' out bro  (No, no, no) I ain't givin' into it (No, no, no) Anxiety bashed my mind in Terrorizing my soul like Bin Laden But I ain't fallin' down bro (No, no, no) I ain't givin in to it (No, no, no) Shackled in chains My soul feels stained I can't explain  Got a itch on my brain Lately my whole brain Lately my whole aim is to maintain And regain control of my mainframe My blood's boilin' it's beatin' out propane My train of thoughts more like a runaway train I'm in a fast car drivin' in the fast lane In the rain and I might just hydroplane  [Chorus:] I don't fear none of my enemies And I don't fear bullets from uzi's I've been dealin' with somethin' that's worse then these That'll make ya' fall to your knees And that's the...  Anxiety The sane and the insane rivalry Paranoia's brought me to my knees Lord please, please, please Take away my anxiety The sane and the insane rivalry Paranoia's brought me to my knees Lord please, please, please Take away my anxiety  My head keeps runnin' away my brother The only thing makin' me stay my brother But I won't give into it bro (No, no, no) Gotta get myself back now God I can't let my mind be trapped by enemies My own Got's to find my inner wealth Grasp a hold of my thoughts  I can't get lost I can't give into it now (No, no, no) Emotions are trapped on lock Got my brain stuck Going through the motions  Only I know what's up  I'm filled up with pain tryin' to gain my sanity  Everywhere I turn it's embedded in front of me Nowhere to go gotta shake this anxiety Got me feelin' strange Paranoia took over me And it's weighin' me down  And I can't run any longer Knees to the ground  [Chorus]",Black Eye Peas
Where Is the Love?,"What's wrong with the world, mama People livin' like they ain't got no mamas I think the whole world's addicted to the drama Only attracted to things that'll bring the trauma  Overseas, yeah, we tryin' to stop terrorism But we still got terrorists here livin' In the USA, the big CIA The Bloods and The Crips and the KKK  But if you only have love for your own race Then you only leave space to discriminate And to discriminate only generates hate And when you hate then you're bound to get irate, yeah  Madness is what you demonstrate And that's exactly how anger works and operates Man, you gotta have love, this'll set us straight Take control of your mind and meditate Let your soul gravitate to the love, y'all, y'all  People killin', people dyin' Children hurt and you hear them cryin' Can you practice what you preach? And would you turn the other cheek?  Father, Father, Father help us Send some guidance from above 'Cause people got me, got me questionin' Where is the love? (Love)  Where is the love? (The love) Where is the love? (The love) Where is the love? The love, the love?  It just ain't the same, old ways have changed New days are strange, is the world insane? If love and peace is so strong Why are there pieces of love that don't belong?  Nations droppin' bombs Chemical gasses fillin' lungs of little ones With ongoin' sufferin' as the youth die young So ask yourself is the lovin' really gone  So I could ask myself really what is goin' wrong In this world that we livin' in people keep on givin' in Makin' wrong decisions, only visions of them dividends Not respectin' each other, deny thy brother A war is goin' on but the reason's undercover  The truth is kept secret, and swept under the rug If you never know truth then you never know love Where's the love, y'all, come on (I don't know) Where's the truth, y'all, come on (I don't know) Where's the love, y'all  People killin', people dyin' Children hurt and you hear them cryin' Can you practice what you preach? Or would you turn the other cheek?  Father, Father, Father help us Send some guidance from above 'Cause people got me, got me questionin' Where is the love? (Love)  Where is the love? (The love) Where is the love? (The love) Where is the love? (The love) Where is the love? (The love) Where is the love? (The love) Where is the love? (The love) Where is the love? The love, the love?  I feel the weight of the world on my shoulder As I'm gettin' older, y'all, people gets colder Most of us only care about money makin' Selfishness got us followin' the wrong direction  Wrong information always shown by the media Negative images is the main criteria Infecting the young minds faster than bacteria Kids wanna act like what they see in the cinema  Yo', whatever happened to the values of humanity Whatever happened to the fairness and equality Instead of spreading love we're spreading animosity Lack of understanding, leading us away from unity  That's the reason why sometimes I'm feelin' under That's the reason why sometimes I'm feelin' down There's no wonder why sometimes I'm feelin' under Gotta keep my faith alive 'til love is found Now ask yourself  Where is the love? Where is the love? Where is the love? Where is the love?  Father, Father, Father, help us Send some guidance from above 'Cause people got me, got me questionin' Where is the love?  Sing with me y'all One world, one world (we only got) One world, one world (that's all we got) One world, one world And something's wrong with it (yeah) Something's wrong with it (yeah) Something's wrong with the wo-wo-world, yeah We only got (One world, one world) That's all we got (One world, one world)",Black Eye Peas
Let's Get It Started,"Let's get it started, in here  And the base keep runnin' runnin', and runnin' runnin', and runnin' runnin', and runnin' runnin', and Runnin' runnin', and runnin' runnin', and runnin' runnin', and runnin' runnin', and  In this context, there's no disrespect, so When I bust my rhyme, you break your necks We got five minutes for us to disconnect From all intellect collect the rhythm effect Obstacles are inefficient, follow your intuition Free your inner soul and break away from tradition Coz when we beat out, girl it's pullin' without You wouldn't believe how we wow shit out Burn it 'til it's burned out Turn it 'til it's turned out Act up from north, west, east, south  Everybody, everybody, let's get into it Get stupid Get it started, get it started, get it started Let's get it started (ha), let's get it started in here Let's get it started (ha), let's get it started in here Let's get it started (ha), let's get it started in here Let's get it started (ha), let's get it started in here Yeah  Lose control, of body and soul Don't move too fast, people, just take it slow Don't get ahead, just jump into it Y'all hear about it, the Peas'll do it Get stutted, get stupid You'll want me body people will walk you through it Step by step, like you're into new kid Inch by inch with the new solution Transmit hits, with no delusion The feeling's irresistible and that's how we movin'  Everybody, everybody, let's get into it Get stupid Get it started, get it started, get it started Let's get it started (ha), let's get it started in here Let's get it started (ha), let's get it started in here Let's get it started (ha), let's get it started in here Let's get it started (ha), let's get it started in here Yeah  Runnin' runnin', and runnin' runnin', and runnin' runnin', and runnin runnin' and  C'mon y'all, let's get koo-koo, uh-huh Let's get koo-koo (in here) I like it koo-koo, uh-huh, let's get koo-koo (in here) I like it koo-koo, uh-huh, let's get koo-koo (in here) oh, oh, oh Ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya  Let's get ill, that's the deal At the gate, we'll bring the bugged-out drill (just) Lose your mind this is the time Y'all test this drill, just and bang your spine (just) Bob your head like me APL de, up inside your club or in your Bentley Get messy, loud and sick Y'all mount past slow mo in another head trip (so) Come then now do not correct it, let's get ignant let's get hectic  Everybody, everybody, let's get into it Get stupid Get it started, get it started, get it started Let's get it started (ha), let's get it started in here Let's get it started (ha), let's get it started in here Let's get it started (ha), let's get it started in here Let's get it started (ha), let's get it started in here, yeah  Koo-koo ah ah ah  Koo-koo (in here) let's get koo-koo  Koo-koo (in here) Koo-koo ah ah  Koo-koo (in here) ah ah ah, ow, ow, ow Ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya  Runnin' runnin', and runnin' runnin', and runnin' runnin', and runnin' runnin', and runnin' runnin'",Black Eye Peas
Let's Get It Started [*],"Let's get it started, in here  And the base keep runnin' runnin', and runnin' runnin', and runnin' runnin', and runnin' runnin', and Runnin' runnin', and runnin' runnin', and runnin' runnin', and runnin' runnin', and  In this context, there's no disrespect, so When I bust my rhyme, you break your necks We got five minutes for us to disconnect From all intellect collect the rhythm effect Obstacles are inefficient, follow your intuition Free your inner soul and break away from tradition Coz when we beat out, girl it's pullin' without You wouldn't believe how we wow shit out Burn it 'til it's burned out Turn it 'til it's turned out Act up from north, west, east, south  Everybody, everybody, let's get into it Get stupid Get it started, get it started, get it started Let's get it started (ha), let's get it started in here Let's get it started (ha), let's get it started in here Let's get it started (ha), let's get it started in here Let's get it started (ha), let's get it started in here Yeah  Lose control, of body and soul Don't move too fast, people, just take it slow Don't get ahead, just jump into it Y'all hear about it, the Peas'll do it Get stutted, get stupid You'll want me body people will walk you through it Step by step, like you're into new kid Inch by inch with the new solution Transmit hits, with no delusion The feeling's irresistible and that's how we movin'  Everybody, everybody, let's get into it Get stupid Get it started, get it started, get it started Let's get it started (ha), let's get it started in here Let's get it started (ha), let's get it started in here Let's get it started (ha), let's get it started in here Let's get it started (ha), let's get it started in here Yeah  Runnin' runnin', and runnin' runnin', and runnin' runnin', and runnin runnin' and  C'mon y'all, let's get koo-koo, uh-huh Let's get koo-koo (in here) I like it koo-koo, uh-huh, let's get koo-koo (in here) I like it koo-koo, uh-huh, let's get koo-koo (in here) oh, oh, oh Ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya  Let's get ill, that's the deal At the gate, we'll bring the bugged-out drill (just) Lose your mind this is the time Y'all test this drill, just and bang your spine (just) Bob your head like me APL de, up inside your club or in your Bentley Get messy, loud and sick Y'all mount past slow mo in another head trip (so) Come then now do not correct it, let's get ignant let's get hectic  Everybody, everybody, let's get into it Get stupid Get it started, get it started, get it started Let's get it started (ha), let's get it started in here Let's get it started (ha), let's get it started in here Let's get it started (ha), let's get it started in here Let's get it started (ha), let's get it started in here, yeah  Koo-koo ah ah ah  Koo-koo (in here) let's get koo-koo  Koo-koo (in here) Koo-koo ah ah  Koo-koo (in here) ah ah ah, ow, ow, ow Ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya  Runnin' runnin', and runnin' runnin', and runnin' runnin', and runnin' runnin', and runnin' runnin'",Black Eye Peas
Third Eye,"Mmmmmmmm... La la la la la la la la la la la La la la la la la la la la la la La la la la la la la la la la la Mmmmmmmm...  He was fooling me once before But I tell you there's no fooling me twice no more 'Cause when I open up my third eye, third eye Gotta get away wit' murder, wit' murder He was fooling me once before But I tell you there's no fooling me twice no more So stop your oppression, oppression Check it out I got a question, a question  Bush is Pinnochio, Pinnochio Who the Hell is Gepetto, Gepetto? Beware of Gepetto  'Cause he got knives and clips and a dagger that's shit with two crucifix And he's got ya back won't flinch if ya two brother has an at Christmas Welcome to the valley of the beast where they sing in harmony where I speak no peace Keepin' an eye on a fella your cheddar, things that ain't really for the better I could point out odd behaviour to keep your meal from the poisonous flavour Then would you call, I can't say let me make your mind so you're in the door danger He can sell sand to Iran Ice to an Eskimo Water to a dam He can put a killer up for sale The one who taught him how to stab  He was fooling me once before But I tell you he ain't fooling me twice no more 'Cause when I open up my third eye, third eye Gotta get away wit' murder, wit' murder Know what I'm saying?  Can't fool me again I'm here to games to late I know your kind Don't fall down again Won't trip on games you like I know your kind  You can fool me once (no no) But you can't fool me two times (no no) 'Cause I got three eyes (yeah yeah) One up from the left side (yeah yeah) The other from the right side (yeah yeah) One eye on the inside (yeah yeah) And I can see you outside (no no) Trying to come in  La la la la la la la la la la la (you can't fool me) La la la la la la la la la la la (you can't do me) La la la la la la la la la la la (you can't run through me) Mmmmmmmmm... La la la la la La la la la la Sometimes we need to change, to change, to change Leave the past behind Leave the past behind or shall we...look into the future? Look ahead That's right",Black Eye Peas
21 Questions,"New York City You are now rocking, with 50 Cent You gotta love it  I just wanna chill and twist the lah Catch stunts in my 7-45 You drive me crazy, shorty, I Need to see you and feel you next to me I provide everything you need and I Like your smile I don't wanna see you cry Got some questions that I got to ask and I Hope you can come up with the answers babe  Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me? Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me girl?  If I fell off tomorrow would you still love me? If I didn't smell so good would you still hug me? If I got locked up and sentenced to a quarter century Could I count on you to be there to support me mentally? If I went back to a hoopty from a Benz, would you poof and disappear Like some of my friends? If I was hit and I was hurt would you be by my side? If it was time to put in work would you be down to ride? I'd get out and peel a nigga cap and chill and drive I'm asking questions to find out how you feel inside If I ain't rap 'cause I flipped burgers at Burger King Would you be ashamed to tell your friends that you feelin' me? In the bed if I used my tongue would you like that? If I wrote you a love letter would you write back? Now we can have a lil' drink, you know a nightcap And we could go do what you like, I know you like that (like that)  Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me? Girl, it's easy to love me now (woo) Would you love me if I was down and out? Would you still have love for me girl?  Now would you leave me if your father found out I was thuggin'? Do you believe me when I tell you, you the one I'm loving? Are you mad 'cause I'm asking you twenty-one questions? Are you my soulmate? 'Cause if so, girl you a blessing Do you trust me enough, to tell me your dreams? I'm staring at ya trying to figure how you got in them jeans If I was down would you say things to make me smile? I treat you how you want to be treated just teach me how If I was with some other chick and someone happened to see? And when you asked me about it I said it wasn't me Would you believe me? Or up and leave me? How deep is our bond if that's all it takes for you to be gone? We only humans girl we make mistakes, to make it up I do whatever it take I love you like a fat kid love cake You know my style I say anything to make you smile  Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me? Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me  Could you love me in a Bentley? (Girl) Could you love me on a bus? I'll ask twenty-one questions, and they all about us Could you love me in a Bentley? Could you love me on a bus? I'll ask twenty-one questions, and they all about us",50 Cent
P.I.M.P.,"I don't know what you heard about me But a bitch can't get a dollar out of me No Cadillac, no perms, you can't see That I'm a motherfucking P-I-M-P  I don't know what you heard about me But a bitch can't get a dollar out of me No Cadillac, no perms, you can't see That I'm a motherfucking P-I-M-P (now, shorty)  Now shorty, she in the club, she dancing for dollars She got a thing for that Gucci, that Fendi, that Prada That BCBG, Burberry, Dolce & Gabbana She feed them foolish fantasies, they pay her 'cause they want her I spit a little G, man, and my game got her A hour later have that ass up in the Ramada Them trick niggas in her ear saying they think about her I got the bitch by the bar trying to get a drink up out her She like my style, she like my smile, she like the way I talk She from the country, think she like me 'cause I'm from New York I ain't that nigga trying to holla 'cause I want some head I'm that nigga trying to holla 'cause I want some bread I could care less how she perform when she in the bed Bitch, hit that track, catch a date, and come and pay the kid Look baby this is simple, you can't see You fucking with me, you fucking with a P-I-M-P  I don't know what you heard about me (woo) But a bitch can't get a dollar out of me No Cadillac, no perms, you can't see That I'm a motherfucking P-I-M-P  I don't know what you heard about me But a bitch can't get a dollar out of me No Cadillac, no perms, you can't see That I'm a motherfucking P-I-M-P  I'm 'bout my money you see, girl, you can holla at me If you fucking with me, I'm a P-I-M-P Not what you see on TV, no Cadillac, no greasy Head full of hair, bitch, I'm a P-I-M-P Come get money with me if you curious to see How it feels to be with a P-I-M-P Roll in the Benz with me, you could watch the TV From the backseat of my V, I'm a P-I-M-P Girl, we could pop some champagne and we could have a ball We could toast to the good life, girl, we could have it all We could really splurge, girl, and tear up the mall If ever you needed someone I'm the one you should call I'll be there to pick you up if ever you should fall If you got problems I can solve 'em, they big or they small That other nigga you be with ain't 'bout shit I'm your friend, your father, and confidant, bitch  I don't know what you heard about me But a bitch can't get a dollar out of me No Cadillac, no perms, you can't see That I'm a motherfucking P-I-M-P  I don't know what you heard about me But a bitch can't get a dollar out of me No Cadillac, no perms, you can't see That I'm a motherfucking P-I-M-P  I told you fools before, I stay with the tools I keep a Benz, some rims, and some jewels I holla at a ho 'til I got a bitch confused She got on Payless, me? I got on gator shoes I'm shopping for chinchillas in the summer, they cheaper Man, this ho you can have her, when I'm done I ain't gon' keep her Man, bitches come and go, every nigga pimping know This ain't a secret, you ain't gotta keep it on the low Bitch, choose on me, I'll have you stripping in the street Put my other hoes down, you get your ass beat Now Niki my bottom bitch, she always come up with my bread The last nigga she was with put stitches in her head Get your ho out of pocket, I'll put a charge on a bitch 'Cause I need four TVs and AMGs for the six Ho make a pimp rich, I ain't paying, bitch Catch a date, suck a dick, shit, trick  I don't know what you heard about me (yeah) But a bitch can't get a dollar out of me (woo) No Cadillac, no perms, you can't see (uh-huh) That I'm a motherfucking P-I-M-P  I don't know what you heard about me (uh-huh) But a bitch can't get a dollar out of me (yeah) No Cadillac, no perms, you can't see That I'm a motherfucking P-I-M-P  Yeah, in Hollywood they say, ""There's no business like show business"" In the hood they say, ""There's no business like ho business"", you know? They say I talk a little fast, but if you listen a little faster I ain't got to slow down for you to catch up, bitch Yeah",50 Cent
Disco Inferno,"Lil' momma show me how you move it Go 'head put ya back into it Do ya thing like they ain't nothing to it Shake sha sha shake that ass girl Lil' momma show me how you move it Go 'head put ya back into it Do ya thing like they ain't nothing to it Shake sha sha shake that ass girl  Go, go, go, 50 in the house, bounce Y'all already know what I'm about The flows sick over Dre drums nigga I ain't stupid I say doc then doe come quicker Whoa, shorty's hips is Hypnotic She move so sure erotic I watch her I'm like bounce that ass girl I get it crunk in here, I make it jump in here Front in here, we'll thump in here Oh! So gutter, so ghetto, so hood So gully, so grimey, what's good? Outside the Benzo on dubs I'm in the club wit the snubs Don't' start nothin' won't be nothin' uh  Lil' momma show me how you move it Better yet put ya back into it Do ya thing like they ain't nothing to it Shake sha sha shake that ass girl Lil' momma show me how you move it Better yet put ya back into it Do ya thing like they ain't nothing to it Shake sha sha shake that ass girl  Let's party, everybody stand up Everybody put ya hands up Let's party, everybody bounce to me Sip champagne and burn a lil' greenery It's hot, disco inferno Let's go your now rocking wit' a pro I get doe to flip doe to get mo fo sho Get my drink on then get on the dance floor Look homie I don't dance all I do is this It's the same two step wit a lil' twist Listen punk I ain't new to dis I'm true to dis Pay attention boy I'll teach you how to do the shit You mix a lil' Cris' wit' a lil' Don Perion And a lil' Hennessy you know we fittin' to carry on Hollering at these shawtys in the club trying to get right We gonn' be up in this bitch til we break daylight  Lil' momma show me how you move it Go 'head put ya back into it Do ya thing like they ain't nothing to it Shake sha sha shake that ass girl Lil' momma show me how you move it Go 'head put ya back into it Do ya thing like they ain't nothing to it Shake sha sha shake that ass girl  Ya see me shining lit up wit' diamonds 'Cause I stay grinding Homie you can catch me swooping Bentley coupin' Switching lanes You see me rolling you know I'm holding About my paper yeah Nigga I'm serious I ain't playing I'll embed it in ya brain I'm off the chain, G-unit! Next level now turn it up a notch Em and Dre sent me to tear up the spot Front on me, oh no! You know I""m loco Hands up on the dance floor okay let's go  Lil' momma show me how you move it Go 'head put ya back into it Do ya thing like they ain't nothing to it Shake sha sha shake that ass girl Lil' momma show me how you move it Go 'head put ya back into it Do ya thing like they ain't nothing to it Shake sha sha shake that ass girl",50 Cent
